,Company Name,Registration Number,Taxpayer Number,Subtitle,CBR Decission,CBR Structural Unit,Date
0,АО «ДРСК»,ОГРН 1052800111308,ИНН 2801108200,Банк России 31.05.2024 принял решение об аннулировании индивидуального кода 005D дополнительного выпуска обыкновенных акций Акционерного общества «Дальневосточная распределительная сетевая компания» (Амурская область) с регистрационным номером 1-01-32531-F-005D от 17.01.2024.,Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.05.2024 15:46
1,АО «МЕТАЛИОН»,ОГРН 1227700743005,ИНН 7720879885,Банк России 31.05.2024 принял решение об аннулировании индивидуального кода 001D дополнительного выпуска обыкновенных акций Акционерного общества «МЕТАЛИОН» (г. Москва) с регистрационным номером 1-01-87437-H-001D от 28.11.2023.,Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.05.2024 15:46
2,АО «ЦБТ»,ОГРН 1227700243748,ИНН 9705169387,Банк России 31.05.2024 принял решение об аннулировании индивидуального кода 002D дополнительного выпуска обыкновенных акций Акционерного общества «Центр Биометрических Технологий» (г. Москва) с регистрационным номером 1-01-87358-H-002D от 19.10.2023.,Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.05.2024 15:46
3,ОАО «АПК «Старониколаевский»,ОГРН 1035011650046,ИНН 5075012411,Банк России 31.05.2024 принял решение об аннулировании индивидуального кода 002D дополнительного выпуска обыкновенных акций Открытого акционерного общества «Агропромышленный комплекс «Старониколаевский» (Московская область) с регистрационным номером 1-01-08122-A-002D от 14.03.2023.,Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.05.2024 15:46
4,АО «Автодормехбаза №1»,ОГРН 1037739319595,ИНН 7734000039,"Банк России 31.05.2024 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций Акционерного общества «Автодормехбаза №1» (г. Москва), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-02-01602-А-001D.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.05.2024 15:46
5,АО «СПЕЦТЕХМОНТАЖ»,ОГРН не присвоен,ИНН не присвоен,"Банк России 31.05.2024 принял решение о приостановлении эмиссии обыкновенных акций Акционерного общества «СПЕЦТЕХМОНТАЖ» (г. Москва), размещаемых путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования Общества с ограниченной ответственностью «СпецТехМонтаж».",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.05.2024 15:46
6,АО УК «Белая скала»,ОГРН 1227700334960,ИНН 9703092033,"Банк России 31.05.2024 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций Акционерного общества «Управляющая компания «Белая скала» (г. Москва), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-02972-G-001D.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.05.2024 15:46
7,АО «Айситипро»,ОГРН 1207700201257,ИНН 9706006321,"Банк России 31.05.2024 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций Акционерного общества «Айситипро» (г. Москва), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-00277-G-001D.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.05.2024 15:46
8,О регистрации изменений и дополнений в правила доверительного управления паевыми инвестиционными фондами,представленных АО «УК ТФГ»,,"Банк России 31.05.2024 принял решение зарегистрировать изменения и дополнения в правила доверительного управления паевыми инвестиционными фондами со следующими полными названиями: Закрытый паевой инвестиционный фонд недвижимости «Енисей»;Закрытый паевой инвестиционный фонд недвижимости «ТФГ – Ангара».
Решение в отношении иных финансовых инструментов
Департамент корпоративных отношений",Решение в отношении иных финансовых инструментов,Департамент корпоративных отношений,31.05.2024 14:19
9,АО «ЛРУАС»,ОГРН 1229400027845,ИНН 9403007654,Банк России 31.05.2024 принял решение о приостановлении эмиссии акций обыкновенных с номинальной стоимостью в рублях акционерного общества «ЛУГАНСКОЕ РЕГИОНАЛЬНОЕ УПРАВЛЕНИЕ АВТОБУСНЫХ СТАНЦИЙ» (Луганская Народная Республика).,Решение в отношении ценных бумаг,Отделение по Республике Крым Южного главного управления Центрального банка Российской Федерации,31.05.2024 12:45
10,АО «ДСИО»,ОГРН 1073808009330,ИНН 3808166080,"Банк России 31.05.2024 принял решение о возобновлении эмиссии и государственной регистрации дополнительного выпуска обыкновенных акций акционерного общества «Дорожная служба Иркутской области» (Иркутская область), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-02-22250-F-007D.",Решение в отношении ценных бумаг,Сибирское главное управление Центрального банка Российской Федерации,31.05.2024 07:21
11,АО «Андроновское»,ОГРН 1242400010160,ИНН 2439008955,"Банк России от 31.05.2024 принял решение о государственной регистрации отчета об итогах выпуска обыкновенных акций акционерного общества «Андроновское» (Красноярский край), размещенных путем обмена на акции акционерного общества, создаваемого в результате преобразования, паев членов реорганизуемого в форме преобразования сельскохозяйственного производственного кооператива «Андроновский», регистрационный номер выпуска 1-01-36304-N.",Решение в отношении ценных бумаг,Сибирское главное управление Центрального банка Российской Федерации,31.05.2024 07:20
12,"АО ""Минерал""",ОГРН 1240300003096,ИНН 0300022887,"Банк России 31.05.2024 принял решение о государственной регистрации отчета об итогах выпуска акций обыкновенных акционерного общества ""Минерал"" (Республика Бурятия), размещенных путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования общества с ограниченной ответственностью ""Минерал"", регистрационный номер выпуска 1-01-59322-N.",Решение в отношении ценных бумаг,Дальневосточное главное управление Центрального банка Российской Федерации,31.05.2024 05:16
13,ПАО «Кристалл»,ОГРН 1021500668683,ИНН 1500000120,"Банк России 30.05.2024 принял решение о приостановлении эмиссии акций обыкновенных Публичного акционерного Общества «Кристалл» (Республика Северная Осетия-Алания), размещаемых путем закрытой подписки.",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,30.05.2024 18:21
