,Company Name,Registration Number,Taxpayer Number,Subtitle,CBR Decission,CBR Structural Unit,Date
0,АО «СР Спейс»,ОГРН 1207700264683,ИНН 9724017598,"Банк России 28.06.2024 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций акционерного общества «СР Спейс» (г. Москва), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-00369-G-002D.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,28.06.2024 15:39
1,АО «Современные технологии сервиса»,ОГРН 1227700887842,ИНН 9709089037,"Банк России 28.06.2024 принял решение о государственной регистрации отчета об итогах дополнительного выпуска обыкновенных акций Акционерного общества «Современные технологии сервиса» (г. Москва), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-87428-Н-001D.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,28.06.2024 15:18
2,АО «Московское общество защиты инвестиций и собственности»,ОГРН не присвоен,ИНН не присвоен,"Банк России 28.06.2024 принял решение о возобновлении эмиссии и государственной регистрации выпуска обыкновенных акций Акционерного общества «Московское общество защиты инвестиций и собственности» (г. Москва), размещаемых путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования Общества с ограниченной ответственностью «СЕЛЬХОЗКОМПАНИЯ». Выпуску ценных бумаг присвоен регистрационный номер 1-01-87689-Н.Решение о государственной регистрации указанного выпуска ценных бумаг вступает в силу с даты государственной регистрации Акционерного общества «Московское общество защиты инвестиций и собственности».
Решение в отношении ценных бумаг
Департамент корпоративных отношений",Решение в отношении ценных бумаг,Департамент корпоративных отношений,28.06.2024 15:18
3,АО «Мосинжпроект»,ОГРН 1107746614436,ИНН 7701885820,"Банк России 28.06.2024 принял решение о государственной регистрации изменений в документ, содержащий условия размещения ценных бумаг акционерного общества «Мосинжпроект» (г. Москва), регистрационный номер дополнительного выпуска 1-01-14301-A-004D.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,28.06.2024 15:18
4,АО «Альфа»,ОГРН не присвоен,ИНН не присвоен,"Банк России 28.06.2024 принял решение о приостановлении эмиссии обыкновенных акций Акционерного общества «Альфа» (г. Москва), размещаемых путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования Общества с ограниченной ответственностью «ПК «Ограждающие конструкции».",Решение в отношении ценных бумаг,Департамент корпоративных отношений,28.06.2024 15:18
5,АО «ЦеСИС»,ОГРН 1025801363202,ИНН 5836616881,"Банк России 28.06.2024 принял решение о государственной регистрации отчета об итогах дополнительного выпуска акций обыкновенных акционерного общества «Центр специальных инженерных сооружений» (Пензенская область), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-02902-P-002D.",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,28.06.2024 14:41
6,АО КНПП «Вертолеты-МИ»,ОГРН 1061683041111,ИНН 1661016033,"Банк России 28.06.2024 принял решение о государственной регистрации отчета об итогах дополнительного выпуска акций обыкновенных акционерного общества «Казанское научно-производственное предприятие «Вертолеты-МИ» (Республика Татарстан), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-53055-K-001D.",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,28.06.2024 13:47
7,АО «Мокинское»,ОГРН 1034310505877,ИНН 4330004586,"Банк России 28.06.2024 принял решение о государственной регистрации отчета об итогах дополнительного выпуска акций обыкновенных акционерного общества «Мокинское» (Кировская область), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-11610-E-001D.",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,28.06.2024 13:47
8,АО «Хмелевицы»,ОГРН 1035202180243,ИНН 5239007533,"Банк России 28.06.2024 принял решение о государственной регистрации отчета об итогах дополнительного выпуска акций обыкновенных акционерного общества «Хмелевицы» (Нижегородская область), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-11615-E-001D.",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,28.06.2024 13:47
9,АО «Алмак»,ОГРН 1022201758369,ИНН 2225001342,"Банк России 28.06.2024 принял решение о государственной регистрации отчета об итогах дополнительного выпуска обыкновенных акций акционерного общества «Алтайские макароны» (Алтайский край), размещавшихся путем закрытой подписки, регистрационный номер дополнительного выпуска 1-03-10232-F-001D, дата регистрации дополнительного выпуска – 30.06.2023, о признании указанного дополнительного выпуска ценных бумаг несостоявшимся в связи с неразмещением ни одной ценной бумаги и аннулировании его государственной регистрации.",Решение в отношении ценных бумаг,Сибирское главное управление Центрального банка Российской Федерации,28.06.2024 11:55
