,Company Name,Registration Number,Taxpayer Number,Subtitle,CBR Decission,CBR Structural Unit,Date
0,АО «514 АРЗ»,ОГРН 1076914001141,ИНН 6914013187,"Банк России 31.10.2023 принял решение о государственной регистрации отчета об итогах дополнительного выпуска акций обыкновенных Акционерного общества «514 авиационный ремонтный завод» (Тверская область), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-12734-А-016D.",Решение в отношении ценных бумаг,Отделение по Орловской области Главного управления Центрального банка Российской Федерации по Центральному федеральному округу,31.10.2023 15:51
1,АО «Совфрахт»,ОГРН 1027739059820,ИНН 7702059030,"Банк России 31.10.2023 принял решение о государственной регистрации отчета об итогах выпуска привилегированных акций Акционерного общества «Совфрахт» (г. Москва), размещенных путем закрытой подписки, регистрационный номер выпуска 2-01-02161-A.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,31.10.2023 15:07
2,АО «Авиакомпания «Сибирь»,ОГРН 1025405624430,ИНН 5448100656,"Банк России 31.10.2023 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций акционерного общества «Авиакомпания «Сибирь» (Новосибирская область), размещаемых путем обмена на акции акционерного общества, к которому осуществляется присоединение, долей участников в уставном капитале присоединяемого общества с ограниченной ответственностью «Глобус». Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-11166-F-002D.",Решение в отношении ценных бумаг,Сибирское главное управление Центрального банка Российской Федерации,31.10.2023 12:40
3,АО «Вурнарский мясокомбинат»,ОГРН 1022102030389,ИНН 2104000312,Банк России 31.10.2023 принял решение об аннулировании индивидуального кода 001D дополнительного выпуска обыкновенных акций акционерного общества «Вурнарский мясокомбинат» (Чувашская Республика-Чувашия) с регистрационным номером 1-02-55428-D-001D от 31.01.2023.,Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,31.10.2023 11:39
4,АО «СПП «Выборгское»,ОГРН 1077847087658,ИНН 7802383470,"Банк России 30.10.2023 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций Акционерного общества «Садово-парковое предприятие «Выборгское» (Санкт-Петербург), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-04220-D-005D.",Решение в отношении ценных бумаг,Северо-Западное главное управление Центрального банка Российской Федерации,31.10.2023 09:02
5,ООО «СФО «НоваФин»,ОГРН 1237700579368,ИНН 9714018514,"Банк России 30.10.2023 принял решение о государственной регистрации выпуска структурных неконвертируемых процентных бездокументарных облигаций с залоговым обеспечением серии 01, предназначенных для квалифицированных инвесторов, общества с ограниченной ответственностью «Специализированное финансовое общество «НоваФин» (г. Москва), размещаемых путем закрытой подписки. Выпуску ценных бумаг присвоен регистрационный номер 6-01-00748-R.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.10.2023 17:50
6,АО «МЭЛ»,ОГРН 1033700065750,ИНН 3714005105,"Банк России 30.10.2023 принял решение о приостановлении эмиссии обыкновенных акций Акционерного общества «Молекулярная электротехника» (г. Москва), размещаемых путем обмена на акции акционерного общества, к которому осуществляется присоединение, долей участников в уставном капитале присоединяемого Общества с ограниченной ответственностью «Энергетические инновации».",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,30.10.2023 17:50
7,АО «АВАНТАЖ»,ОГРН 1237700638856,ИНН 9727047953,"Банк России 30.10.2023 принял решение о государственной регистрации отчета об итогах выпуска обыкновенных акций Акционерного общества «АВАНТАЖ» (г. Москва), размещенных путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования Общества с ограниченной ответственностью «АВАНТАЖ», регистрационный номер выпуска 1-01-87555-H.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,30.10.2023 17:38
8,АО «Мосгорснабпродторг»,ОГРН 1067746499050,ИНН 7736538312,"Банк России 30.10.2023 принял решение о государственной регистрации изменений в решение о выпуске обыкновенных акций Акционерного общества «Мосгорснабпродторг» (г. Москва), государственный регистрационный номер выпуска 1-01-11437-А от 07.07.2006.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,30.10.2023 17:19
9,АО «Т-Компоненты»,ОГРН 1225000115306,ИНН 5034063343,"Банк России 30.10.2023 принял решение о государственной регистрации изменений в решение о выпуске обыкновенных акций Акционерного общества «Т-Компоненты» (Московская область), регистрационный номер выпуска 1-01-03598-G.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,30.10.2023 17:07
10,АО «Инновации и стратегия»,ОГРН 1217700550869,ИНН 9725065795,"Банк России 30.10.2023 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций Акционерного общества «Инновации и стратегия» (г. Москва), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-02070-G-001D.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,30.10.2023 15:43
11,АО «МАГАЗИН №99»,ОГРН 1149204047211,ИНН 9201015839,"Банк России 30.10.2023 принял решение о государственной регистрации отчета об итогах дополнительного выпуска акций обыкновенных АКЦИОНЕРНОГО ОБЩЕСТВА «МАГАЗИН №99» (г. Севастополь), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-50314-А-001D.",Решение в отношении ценных бумаг,Отделение по Республике Крым Южного главного управления Центрального банка Российской Федерации,30.10.2023 15:42
12,ППК «Фонд развития территорий»,ОГРН 5177746100032,ИНН 7704446429,"Банк России 30.10.2023 принял решение о государственной регистрации выпусков неконвертируемых процентных бездокументарных облигаций серий 001Р-31, 001Р-32, 001Р-33 и 001Р-34, размещаемых в рамках программы облигаций серии 001Р c регистрационным номером 4-00013-Т-001Р, публично-правовой компании «Фонд развития территорий» (г. Москва). Выпускам ценных бумаг присвоены регистрационные номера 4-31-00014-Т-001P, 4-32-00014-Т-001P, 4-33-00014-Т-001P и 4-34-00014-Т-001P.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.10.2023 15:42
13,АО «ЮГК»,ОГРН 1077424000686,ИНН 7424024375,"Банк России 30.10.2023 принял решение о государственной регистрации дополнительного выпуска и регистрации проспекта обыкновенных акций публичного акционерного общества «Южуралзолото Группа Компаний» (Челябинская область), размещаемых путем открытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-02-33010-D.Решение о государственной регистрации дополнительного выпуска акций и о регистрации проспекта акций при приобретении обществом публичного статуса вступают в силу со дня внесения в единый государственный реестр юридических лиц сведений о фирменном наименовании общества, содержащем указание на то, что общество является публичным.
Решение в отношении ценных бумаг
Департамент корпоративных отношений",Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.10.2023 15:35
14,ООО «Проспект»,ОГРН 5177746236531,ИНН 7716878350,"Банк России 30.10.2023 принял решение о государственной регистрации выпуска неконвертируемых процентных бездокументарных облигаций серии П001-02, размещаемых в рамках программы облигаций серии П001, общества с ограниченной ответственностью «Проспект» (г. Москва). Выпуску ценных бумаг присвоен регистрационный номер 4-02-00697-R-001P.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.10.2023 15:32
15,Государственная компания «Автодор»,ОГРН 1097799013652,ИНН 7717151380,"Банк России 30.10.2023 принял решение о государственной регистрации выпусков неконвертируемых процентных бездокументарных облигаций серий 004P-07 и 004P-08, размещаемых в рамках программы облигаций серии 004Р, Государственной компании «Российские автомобильные дороги» (г. Москва). Выпускам ценных бумаг присвоены регистрационные номера 4-07-00011-Т-004P и 4-08-00011-Т-004P.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.10.2023 15:32
16,АО «МПС-Форест»,ОГРН 1077746381624,ИНН 7717582274,"Банк России 30.10.2023 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций акционерного общества «МПС-Форест» (г. Москва), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-63776-H-001D.
Решение в отношении ценных бумаг
Департамент корпоративных отношений",Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.10.2023 15:32
17,АО «МПС-Стар»,ОГРН 1077746342630,ИНН 7717581432,"Банк России 30.10.2023 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций акционерного общества «МПС-Стар» (г. Москва), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-63775-H-002D.
Решение в отношении ценных бумаг
Департамент корпоративных отношений",Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.10.2023 15:32
18,АО «МПС-Гранд»,ОГРН 1077746296550,ИНН 7717580421,"Банк России 30.10.2023 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций акционерного общества «МПС-Гранд» (г. Москва), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-63618-H-002D.
Решение в отношении ценных бумаг
Департамент корпоративных отношений",Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.10.2023 15:32
19,МКАО «АйДиЭф Евразия»,ОГРН не присвоен,ИНН не присвоен,"Банк России 30.10.2023 принял решение о приостановлении эмиссии обыкновенных акций, привилегированных конвертируемых акций типов А и В, привилегированных акций типа С международной компании Акционерного общества «АйДиЭф Евразия» (Калининградская область).",Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.10.2023 15:32
