,Company Name,Registration Number,Taxpayer Number,Subtitle,CBR Decission,CBR Structural Unit,Date
0,АО «Санаторий Вешенский»,ОГРН 1026101758484,ИНН 6139003209,"Банк России 28.02.2023 принял решение о государственной регистрации изменений в решение о выпуске акций обыкновенных Акционерного общества «Санаторий Вешенский» (Ростовская область), регистрационный номер выпуска  1-01-33747-Е от 07.12.2004.",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,28.02.2023 18:51
1,АО «Быковское ХПП»,ОГРН 1033400711695,ИНН 3402003455,"Банк России 28.02.2023 принял решение о приостановлении эмиссии акций обыкновенных Акционерного общества «Быковское хлебоприемное предприятие» (Волгоградская область), размещаемых путем закрытой подписки.",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,28.02.2023 18:51
2,АО «Белокопанское»,ОГРН 1082643000681,ИНН 2602006532,"Банк России 28.02.2023 принял решение о государственной регистрации отчета об итогах дополнительного выпуска акций обыкновенных Акционерного общества «Белокопанское» (Ставропольский край), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-35124-E-001D.",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,28.02.2023 18:51
3,АО «ТК «ШУПАШКАР»,ОГРН 1022100966502,ИНН 2127303786,"Банк России 28.02.2023 принял решение о приостановлении эмиссии акций обыкновенных акционерного общества «Торговый комплекс «ШУПАШКАР» (Чувашская Республика – Чувашия), размещаемых путем обмена на акции акционерного общества, к которому осуществляется присоединение, долей участников в уставном капитале присоединяемого общества с ограниченной ответственностью «Дар».",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,28.02.2023 16:57
4,АО «НИКИРЭТ»,ОГРН 1225800010600,ИНН 5838015773,"Банк России 28.02.2023 принял решение о государственной регистрации отчета об итогах выпуска акций обыкновенных акционерного общества «Научно-исследовательский и конструкторский институт радиоэлектронной техники» (Пензенская область), размещенных путем распределения акций акционерного общества, создаваемого в результате выделения, среди акционеров (участников, членов) юридического лица, реорганизуемого в форме выделения, регистрационный номер выпуска 1-01-10822-P.",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,28.02.2023 16:57
5,АО «Порт Камбарка»,ОГРН 1021800717839,ИНН 1810000040,"Банк России 28.02.2023 принял решение об отказе в государственной регистрации дополнительного выпуска акций привилегированных типа А акционерного общества «Порт Камбарка» (Удмуртская Республика), размещаемых путем закрытой подписки.",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,28.02.2023 16:57
6,АО «НПП «Пульсар»,ОГРН 1137746472599,ИНН 7719846490,"Банк России 28.02.2023 принял решение о государственной регистрации отчета об итогах дополнительного выпуска обыкновенных акций Акционерного общества «Научно-производственное предприятие «Пульсар» (г. Москва), размещенных путем конвертации в акции акционерного общества, к которому осуществляется присоединение, акций присоединяемого Акционерного общества «Государственный завод «Пульсар», регистрационный номер дополнительного выпуска 1-01-15532-А-004D.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,28.02.2023 16:48
7,АО «Группа ЭйТи»,ОГРН 1107746885070,ИНН 7715834960,"Банк России 28.02.2023 принял решение о государственной регистрации отчета  об итогах дополнительного выпуска обыкновенных акций Акционерного общества «Группа ЭйТи» (г. Москва), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-74671-H-001D.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,28.02.2023 16:27
8,"АО ""Таганрогбанк""",ОГРН 1026100002565,ИНН 6154035357,"Банк России 28.02.2023 принял решение о приостановлении эмиссии обыкновенных акций Акционерного общества «Акционерный городской банк «Таганрогбанк» (Ростовская обл.), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 10103136B013D, дата государственной регистрации дополнительного выпуска 27.10.2022.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,28.02.2023 16:23
9,АО «Лигал про»,ОГРН 1137746534947,ИНН 7714908792,"Банк России 28.02.2023 принял решение о государственной регистрации отчета об итогах дополнительного выпуска обыкновенных акций Акционерного общества «Лигал про» (г. Москва), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-81031-Н-001D.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,28.02.2023 15:42
10,АО «ГЛОРАКС»,ОГРН не присвоен,ИНН не присвоен,"Банк России 28.02.2023 принял решение о государственной регистрации выпуска обыкновенных акций Акционерного общества «ГЛОРАКС» (г. Москва), размещаемых путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования Общества с ограниченной ответственностью «ГЛОРАКС». Выпуску ценных бумаг присвоен регистрационный номер 1-01-87516-Н.Решение о государственной регистрации указанного выпуска ценных бумаг вступает в силу с даты государственной регистрации Акционерного общества «ГЛОРАКС».
Решение в отношении ценных бумаг
Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,28.02.2023 14:57
11,ООО «Газпром капитал»,ОГРН 1087746212388,ИНН 7726588547,"Банк России 28.02.2023 принял решение о государственной регистрации дополнительного выпуска неконвертируемых процентных бездокументарных облигаций серии ЗО27-1-Д общества с ограниченной ответственностью «Газпром капитал» (г. Санкт-Петербург), размещаемых путем открытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 4-07-36400-R.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,28.02.2023 12:47
12,ООО «Газпром капитал»,ОГРН 1087746212388,ИНН 7726588547,"Банк России 28.02.2023 принял решение о государственной регистрации дополнительного выпуска неконвертируемых процентных бездокументарных облигаций серии ЗО24-1-Ф общества с ограниченной ответственностью «Газпром капитал» (г. Санкт-Петербург), размещаемых путем открытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 4-08-36400-R.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,28.02.2023 12:47
13,АО «БАХЧИСАРАЙСКОЕ АТП № 14340»,ОГРН 1149102083371,ИНН 9104001710,"Банк России 28.02.2023 принял решение о государственной регистрации отчета об итогах дополнительного выпуска обыкновенных акций АКЦИОНЕРНОГО ОБЩЕСТВА «БАХЧИСАРАЙСКОЕ АВТОТРАНСПОРТНОЕ ПРЕДПРИЯТИЕ № 14340» (Республика Крым), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-50459-А-001D.",Решение в отношении ценных бумаг,Отделение по Республике Крым Южного главного управления Центрального банка Российской Федерации,28.02.2023 12:23
14,ПАО «КоМЗ»,ОГРН 1024000668273,ИНН 4009001415,"Банк России 28.02.2023 принял решение о государственной регистрации отчета об итогах дополнительного выпуска обыкновенных акций Публичного акционерного общества «Козельский механический завод» (Калужская область), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-05002-A-001D.",Решение в отношении ценных бумаг,Отделение по Орловской области Главного управления Центрального банка Российской Федерации по Центральному федеральному округу,28.02.2023 10:55
15,АО «Районная теплосетевая компания»,ОГРН 1193123011850,ИНН 3122015240,"Банк России 28.02.2023 принял решение о приостановлении эмиссии акций обыкновенных Акционерного общества «Районная теплосетевая компания» (Белгородская область), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-85995-Н-001D.",Решение в отношении ценных бумаг,Отделение по Орловской области Главного управления Центрального банка Российской Федерации по Центральному федеральному округу,28.02.2023 10:55
16,"АО ""Якутоптторг""",ОГРН 1061435003728,ИНН 1435167374,"Банк России 28.02.2023 принял решение о государственной регистрации дополнительного выпуска акций обыкновенных акционерного общества ""Якутоптторг"" (Республика Саха (Якутия), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-03-32550-F-005D.",Решение в отношении ценных бумаг,Дальневосточное главное управление Центрального банка Российской Федерации,28.02.2023 10:15
17,АО «Самараплем»,ОГРН 1076350000737,ИНН 6350011391,"Банк России 28.02.2023 принял решение о государственной регистрации изменений в решение о выпуске акций обыкновенных акционерного общества «Самарское» по племенной работе (Самарская область),  государственный регистрационный номер выпуска 1-01-04232-E от 12.09.2007.",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,28.02.2023 10:10
18,ОАО «РЖД»,ОГРН 1037739877295,ИНН 7708503727,Банк России 27.02.2023 принял решение об аннулировании индивидуального кода 032D дополнительного выпуска обыкновенных акций открытого акционерного общества «Российские железные дороги» (г. Москва) с регистрационным номером 1-01-65045-D-032D от 03.10.2022.,Решение в отношении ценных бумаг,Департамент корпоративных отношений,27.02.2023 17:04
19,АО «Потребительские сервисы»,ОГРН 1227700519738,ИНН 9703104521,Банк России 27.02.2023 принял решение об аннулировании индивидуального кода 001D дополнительного выпуска обыкновенных акций акционерного общества «Потребительские сервисы» (г. Москва) с регистрационным номером 1-01-03353-G-001D от 10.11.2022.,Решение в отношении ценных бумаг,Департамент корпоративных отношений,27.02.2023 17:04
20,АО «Сахатранснефтегаз»,ОГРН 1031402073097,ИНН 1435142972,Банк России 27.02.2023 принял решение об аннулировании индивидуального кода 015D дополнительного выпуска обыкновенных акций акционерного общества «Сахатранснефтегаз» (Республика Саха (Якутия)) с регистрационным номером 1-01-65075-D-015D от 03.10.2022.,Решение в отношении ценных бумаг,Департамент корпоративных отношений,27.02.2023 17:03
21,АО «Корпорация «МСП»,ОГРН 1147711000040,ИНН 7750005919,Банк России 27.02.2023 принял решение об аннулировании индивидуального кода 007D дополнительного выпуска обыкновенных акций акционерного общества «Федеральная корпорация по развитию малого и среднего предпринимательства» (г. Москва) с регистрационным номером 1-01-50480-A-007D от 26.10.2022.,Решение в отношении ценных бумаг,Департамент корпоративных отношений,27.02.2023 17:03
22,АО «РИК Плюс»,ОГРН 1131447012047,ИНН 1435270798,Банк России 27.02.2023 принял решение об аннулировании индивидуального кода 002D дополнительного выпуска обыкновенных акций акционерного общества «РИК Плюс» (Республика Саха (Якутия)) с регистрационным номером 1-03-50158-A-002D от 19.07.2021.,Решение в отношении ценных бумаг,Департамент корпоративных отношений,27.02.2023 17:03
23,ПАО «Курганмашзавод»,ОГРН 1024500521682,ИНН 4501008142,Банк России 27.02.2023 принял решение об аннулировании индивидуального кода 003D дополнительного выпуска обыкновенных акций публичного акционерного общества «Курганский машиностроительный завод» (Курганская область) с государственным регистрационным номером 1-01-45213-D-003D от 03.10.2019.,Решение в отношении ценных бумаг,Департамент корпоративных отношений,27.02.2023 17:03
24,ООО «СОПФ «Инфраструктурные облигации»,ОГРН 1217700023177,ИНН 9704044804,"Банк России 27.02.2023 принял решение о государственной регистрации изменений в программу и проспект неконвертируемых процентных бездокументарных облигаций с залоговым обеспечением денежными требованиями общества с ограниченной ответственностью «Специализированное общество проектного финансирования «Инфраструктурные облигации», регистрационный номер программы 4-00598-R-001P.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,27.02.2023 17:03
25,АО «ЛЦ ЯТЦ»,ОГРН 1137746991821,ИНН 7706801975,"Банк России 27.02.2023 принял решение о государственной регистрации изменений в документ, содержащий условия размещения обыкновенных акций акционерного общества «Логистический центр ЯТЦ» (г. Москва), регистрационный номер дополнительного выпуска 1-01-15594-А-004D.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,27.02.2023 17:03
26,АО «НПО Энергомаш»,ОГРН 1025006169704,ИНН 5047008220,"Банк России 27.02.2023 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций акционерного общества «НПО Энергомаш имени академика В.П. Глушко» (Московская область), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-03-01375-A-010D.
Решение в отношении ценных бумаг
Департамент корпоративных отношений",Решение в отношении ценных бумаг,Департамент корпоративных отношений,27.02.2023 17:03
27,МКАО «ГУДТЕК КОМПАНИ ЛИМИТЕД»,,,"Банк России 27.02.2023 принял решение о государственной регистрации выпуска обыкновенных акций международной компании акционерного общества «ГУДТЕК КОМПАНИ ЛИМИТЕД» (Калининградская область). Выпуску ценных бумаг присвоен регистрационный номер 1-01-16732-A.Решение о государственной регистрации выпуска ценных бумаг международной компании вступает в силу с даты государственной регистрации международной компании.
Решение в отношении ценных бумаг
Департамент корпоративных отношений",Решение в отношении ценных бумаг,Департамент корпоративных отношений,27.02.2023 17:03
28,ООО «Газпром капитал»,ОГРН 1087746212388,ИНН 7726588547,"Банк России 27.02.2023 принял решение о государственной регистрации выпусков неконвертируемых процентных бездокументарных облигаций серий ЗО25-2-Е и ЗО27-1-ФР, размещаемых в рамках программы облигаций серии 001Z, общества с ограниченной ответственностью «Газпром капитал» (г. Санкт-Петербург). Выпускам ценных бумаг присвоены регистрационные номера 4-16-36400-R-003Р и 4-17-36400-R-003Р.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,27.02.2023 17:02
29,ПАО «Селигдар»,ОГРН 1071402000438,ИНН 1402047184,"Банк России 27.02.2023 принял решение о государственной регистрации программы неконвертируемых процентных бездокументарных облигаций серии 001SLZ и регистрации проспекта неконвертируемых процентных бездокументарных облигаций, размещаемых в рамках программы облигаций серии 001SLZ, публичного акционерного общества «Селигдар» (Республика Саха (Якутия)). Программе облигаций присвоен регистрационный номер 4-32694-F-001P.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,27.02.2023 17:02
30,АО «МТА-19»,ОГРН не присвоен,ИНН не присвоен,"Банк России 27.02.2023 принял решение о приостановлении эмиссии обыкновенных акций Акционерного общества «МТА-19» (г. Москва), размещаемых путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования Общества с ограниченной ответственностью «МТА-19».",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,27.02.2023 16:18
