,Company Name,Registration Number,Taxpayer Number,Subtitle,CBR Decission,CBR Structural Unit,Date
0,"ПАО ""РосДорБанк""",ОГРН 1027739857958,ИНН 7718011918,"Банк России 31 июля 2023 года принял решение о приостановлении эмиссии обыкновенных акций кредитной организации ""Российский акционерный дорожный банк"" (публичное акционерное общество), (г. Москва), размещенных путем  открытой подписки, регистрационный номер дополнительного выпуска 10201573B007D, дата государственной регистрации дополнительного выпуска 26.05.2022.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,01.08.2023 10:38
1,АО «Красный гидропресс»,ОГРН 1026102576444,ИНН 6154082903,"Банк России 31.07.2023 принял решение о государственной регистрации дополнительного выпуска акций обыкновенных Акционерного общества «Красный гидропресс» (Ростовская область), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-33508-Е-006D.",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,31.07.2023 17:26
2,АО «ИК «Ленинградское Адажио»,ОГРН 1237700366310,ИНН 9703145951,"Банк России 31.07.2023 принял решение о государственной регистрации отчета об итогах выпуска обыкновенных акций акционерного общества «Инвестиционная компания «Ленинградское Адажио» (г. Москва), размещенных путем обмена на них долей участников в уставном капитале реорганизованного в форме преобразования общества с ограниченной ответственностью «Инвестиционная компания «Ленинградское Адажио», регистрационный номер выпуска 1-01-16737-A.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.07.2023 15:46
3,ППК «Российский экологический оператор»,ОГРН 1197746250030,ИНН 7703474222,"Банк России 31.07.2023 принял решение о государственной регистрации изменений в решение о выпуске неконвертируемых процентных бездокументарных облигаций с залоговым обеспечением денежными требованиями серии 01, размещаемых в рамках программы облигаций серии 001Р, публично-правовой компании по формированию комплексной системы обращения с твердыми коммунальными отходами «Российский экологический оператор» (г. Москва), регистрационный номер выпуска 4-01-00009-Т-001P.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.07.2023 15:46
4,АО «ОПК»,ОГРН 1147746324340,ИНН 7704859803,"Банк России 31.07.2023 принял решение о государственной регистрации изменений в документ, содержащий условия размещения обыкновенных акций акционерного общества «Объединенная приборостроительная корпорация» (г. Москва), регистрационный номер дополнительного выпуска 1-01-15844-A-002D.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.07.2023 15:46
5,АО «ГНЦ НИИАР»,ОГРН 1087302001797,ИНН 7302040242,"Банк России 31.07.2023 принял решение о государственной регистрации изменений в документ, содержащий условия размещения обыкновенных акций акционерного общества «Государственный научный центр - Научно-исследовательский институт атомных реакторов» (Ульяновская область), регистрационный номер дополнительного выпуска 1-01-55411-E-011D.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.07.2023 15:46
6,АО «МОСГАЗ»,ОГРН 1127747295686,ИНН 7709919968,"Банк России 31.07.2023 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций акционерного общества «МОСГАЗ» (г. Москва), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-55519-E-008D.
Решение в отношении ценных бумаг
Департамент корпоративных отношений",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.07.2023 15:46
7,ООО «СФО Актиниум»,ОГРН 1227700784651,ИНН 9729334551,"Банк России 31.07.2023 принял решение о приостановлении эмиссии структурных неконвертируемых процентных бездокументарных облигаций серии АСТ-1 с залоговым обеспечением денежными требованиями, предназначенных для квалифицированных инвесторов, общества с ограниченной ответственностью «Специализированное финансовое общество Актиниум» (г. Москва), размещаемых путем закрытой подписки.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.07.2023 15:45
8,О регистрации изменений и дополнений в правила доверительного управления паевыми инвестиционными фондами,представленных ООО «Баланс Эссет Менеджмент»,,"Банк России 31.07.2023 принял решение зарегистрировать изменения и дополнения в правила доверительного управления паевыми инвестиционными фондами со следующими полными названиями: Закрытый паевой инвестиционный фонд недвижимости «Самолет. Коммерческий капитал»;Закрытый паевой инвестиционный фонд недвижимости «Самолет. Жилой капитал».
Решение в отношении иных финансовых инструментов
Департамент корпоративных отношений",Решение в отношении иных финансовых инструментов,Департамент корпоративных отношений,31.07.2023 15:42
9,Об отказе в регистрации изменений и дополнений в правила доверительного управления паевым инвестиционным фондом,представленных ООО «УК «РЕКОРД КАПИТАЛ»,,Банк России 31.07.2023 принял решение отказать в регистрации изменений и дополнений в правила доверительного управления паевым инвестиционным фондом со следующим полным названием: Открытый паевой инвестиционный фонд рыночных финансовых инструментов «РЕКОРД – Львиный рывок».,Решение в отношении иных финансовых инструментов,Департамент корпоративных отношений,31.07.2023 15:42
